#{"t_start": 1775974238.6233823, "env_id": "None"}
r,l,t
-31.397716,2,1.745131
-48.788812,3,1.746132
-21.067929,2,1.747132
-52.569046,6,1.748131
-31.520002,4,1.750132
-25.308964,3,1.751132
-38.34002,3,1.752132
-53.785195,7,1.754132
-10.761402,10,1.758132
-49.849334,3,1.760137
-41.419576,5,1.762138
-39.92191,3,1.763138
-41.038937,5,1.764138
-28.088386,3,1.765138
-34.758219,4,1.767138
-32.307353,3,1.768138
-22.050853,3,1.769137
-35.362691,3,1.770138
-48.198805,3,1.771138
-24.237228,2,1.772138
-34.220187,3,1.773138
-47.529408,5,1.774643
-45.269424,4,1.77565
-31.274059,4,1.77665
-41.205631,3,1.77765
-36.915717,3,1.77865
-44.521778,3,1.77965
-47.545077,5,1.78165
-21.366499,2,1.78165
-48.954959,3,1.78265
-29.903034,3,1.78365
-32.422513,3,1.785651
-20.697412,2,1.785651
-24.398041,3,1.78665
-32.086494,6,1.78865
-42.638413,3,1.78965
-41.055494,5,1.79065
-45.077884,3,1.79165
-49.383234,3,1.79265
-45.6171,5,1.79465
-27.672678,3,1.79565
-23.124062,2,1.79565
-49.044425,3,1.79665
-45.921744,3,1.79765
-40.683885,5,1.79965
-22.452044,2,1.80265
-24.725486,2,1.803649
-34.046705,3,1.80465
-37.803534,3,1.80465
-38.705196,4,1.806649
-46.566429,4,1.80765
-48.105872,3,1.80865
-39.992581,3,1.80965
-73.08615,6,1.81065
-39.213576,4,1.81165
-26.082774,3,1.812649
-27.422997,3,1.81365
-22.840334,2,1.81465
-24.121257,3,1.81565
-28.380942,4,1.81665
-37.835215,5,1.81865
-22.125253,3,1.81965
-20.370132,2,1.82065
-42.055734,7,1.82265
-71.067731,5,1.82465
-32.055161,3,1.82465
-42.497665,3,1.825649
-35.31768,3,1.82665
-43.590183,5,1.82865
-29.788117,3,1.82965
-42.252501,3,1.83065
-44.641197,3,1.83165
-23.691562,3,1.83265
-25.650335,4,1.83365
-35.005652,3,1.83465
-34.990425,3,1.83565
-124.691494,11,1.839649
-50.647209,3,1.841649
-41.445974,3,1.84265
-43.418703,3,1.84365
-50.706046,3,1.844649
-62.128963,6,1.84765
-39.904852,4,1.84865
-24.940476,2,1.84965
-44.59621,4,1.85065
-47.932163,3,1.85165
-41.327092,3,1.85265
-38.426707,4,1.85465
-43.154713,4,1.85665
-34.599304,3,1.85765
-38.70366,3,1.858649
-37.605898,4,1.860656
-34.007493,8,1.863656
-35.453597,3,1.864656
-44.413402,5,1.866656
-32.236938,3,1.867656
-45.497097,4,2.824059
-22.276344,2,2.825059
-33.941057,3,2.826059
-34.074742,3,2.828059
-28.147425,3,2.829059
-41.257969,3,2.830059
-40.858266,4,2.832062
-25.864518,2,2.833063
-52.331909,3,2.83506
-42.902026,3,2.836059
-30.721048,4,2.838059
-23.670522,3,2.840059
-25.67864,2,2.841059
-32.108164,3,2.842059
-35.140269,4,2.844059
-31.907629,3,2.845059
-30.694516,3,2.846059
-26.781538,3,2.847059
-33.120514,4,2.849062
-32.288447,4,2.851059
-48.002766,4,2.852059
-38.387403,5,2.854059
-37.965518,3,2.856059
-24.2445,2,2.857059
-27.897526,2,2.857059
-38.393654,3,2.859059
-25.654579,3,2.860059
-69.20846,10,2.864064
-20.356664,2,2.865064
-19.227341,6,2.868066
-41.553342,3,2.869066
-34.971984,3,2.870067
-65.256974,7,2.873066
-33.096702,3,2.874065
-34.92215,3,2.875572
-48.659649,3,2.87758
-43.653766,4,2.879582
-25.110793,3,2.880583
-22.751098,2,2.881582
-39.840465,5,2.883581
-47.928879,3,2.884581
-29.43793,3,2.885581
-21.243577,2,2.88658
-31.446228,3,2.887581
-38.014578,3,2.889582
-33.104711,3,2.890582
-42.772122,3,2.891584
-40.102828,3,2.892583
-24.771989,3,2.893582
-42.019966,3,2.895584
-22.36637,2,2.89658
-20.352336,2,2.897583
-21.406435,2,2.89858
-27.489205,3,2.89958
-23.241774,2,2.900578
-44.287702,3,2.902578
-23.741973,2,2.903578
-43.153358,3,2.904578
-35.852144,2,2.905578
-24.993919,3,2.906578
-37.847999,3,2.908578
-23.530271,2,2.909578
-47.928029,9,2.915581
-22.069938,2,2.91658
-36.106494,4,2.917578
-23.639451,2,2.918578
-30.188491,3,2.919578
-21.957455,2,2.920578
-38.590832,3,2.921578
-33.065296,3,2.922578
-29.305678,7,2.925578
-25.695277,2,2.926578
-46.690266,3,2.927578
-22.236976,2,2.928578
-21.909216,2,2.929578
-43.560621,3,2.930581
-46.249163,7,2.933578
-33.359012,6,2.935578
-36.820472,3,2.937578
-41.081424,4,2.938581
-47.868172,6,2.940579
-48.442419,4,2.942578
-30.552035,3,2.94458
-31.952466,2,2.94558
-26.755034,3,2.946578
-24.290967,3,2.947578
-47.87993,3,2.949581
-29.30723,3,2.950578
-33.028044,3,2.951578
-39.229634,3,2.952578
-36.18751,3,2.954579
-28.72192,4,2.955578
-22.006657,2,2.956578
-43.392524,4,2.958578
-64.492139,11,2.962581
-40.915049,4,2.963582
-25.834324,4,2.965585
-27.421713,3,2.966584
-21.557301,2,2.967582
-22.143139,2,2.968582
-28.847761,3,2.969582
-51.178084,3,2.970582
-39.070185,3,2.971582
-41.145746,4,2.973582
-32.858129,4,2.975089
-17.688719,6,2.977099
-24.38648,3,2.978097
-54.930282,5,2.980098
-29.102007,3,2.982098
-48.086162,3,2.983098
-44.84033,3,2.984098
-41.574822,3,2.986098
-24.551526,3,2.987101
-20.308547,2,2.988101
-21.111743,2,2.989099
-23.848292,2,2.990098
-50.024007,3,2.991098
-38.878219,3,2.992099
-29.44214,3,2.993098
-47.219844,3,2.995097
-47.344705,3,2.996099
-28.384033,3,2.997099
-32.885632,3,2.998101
-25.654749,2,2.9991
-40.953923,4,3.001098
-25.142552,3,3.002098
-22.100643,3,3.003099
-43.431415,5,3.005098
-24.087768,2,3.006098
-42.359008,4,3.0081
-47.060644,3,3.0091
-21.413756,3,3.010099
-47.024711,3,3.011098
-42.51187,3,3.012098
-28.397028,3,3.014096
-43.336959,4,3.015095
-36.632713,3,3.017095
-39.503063,3,3.018095
-28.348089,4,3.020095
-47.814441,3,3.023105
-24.45414,2,3.024104
-36.559831,3,3.026103
-21.710767,2,3.026103
-29.501101,3,3.028104
-35.798093,6,3.030105
-45.837021,5,3.032103
-34.892611,3,3.033106
-29.588596,3,3.034103
-25.824165,3,3.035103
-49.576025,3,3.037105
-40.59384,4,3.038116
-35.458001,5,3.040104
-36.520563,3,3.041097
-39.214609,3,3.042104
-44.010515,3,3.044104
-25.868213,4,3.045105
-60.153748,6,3.048103
-31.330769,2,3.048103
-45.786796,3,3.0501
-32.595418,3,3.051108
-24.812775,2,3.052105
-48.686615,3,3.053112
-64.996522,4,3.054109
-30.690386,2,3.055104
-42.133227,4,3.057103
-35.39012,3,3.058099
-43.048534,4,3.059112
-46.461455,4,3.061125
-31.773012,3,3.062123
-32.182055,3,3.063123
-20.652784,2,3.064123
-32.868717,3,3.065123
-30.862445,2,3.066125
-47.240379,3,3.067123
-28.420716,4,3.068123
-26.163414,2,3.069123
-44.581668,3,3.07013
-51.148879,3,3.071126
-23.695193,3,3.073123
-39.841759,3,3.074123
-45.153996,3,3.07565
-39.702163,3,3.076669
-44.168022,3,3.077669
-40.906186,3,3.07867
-50.014603,3,3.07967
-48.515365,3,3.080669
-38.022943,3,3.082664
-43.661792,3,3.083663
-26.702764,3,3.085665
-27.855688,3,3.086663
-42.133425,3,3.087664
-38.333515,3,3.088663
-32.231026,3,3.090662
-32.383283,3,3.091662
-25.535887,7,3.093663
-25.93954,3,3.094663
-30.9429,3,3.095662
-21.514807,3,3.097662
-23.402304,2,3.097662
-44.252081,3,3.099663
-43.099719,3,3.100662
-45.485772,3,3.101662
-32.888374,3,3.102663
-34.090982,3,3.104662
-40.712704,3,3.105662
-30.725706,3,3.106663
-43.722247,3,3.107662
-45.5983,4,3.108662
-49.012162,3,3.109662
-48.145027,6,3.112663
-45.114434,4,3.113663
-31.701486,3,3.114663
-37.058204,3,3.115663
-38.350577,3,3.117663
-51.286312,3,3.118663
-48.769957,3,3.119662
-44.202827,3,3.121662
-21.919384,2,3.121662
-31.931428,3,3.122662
-22.320036,2,3.123662
-28.499245,3,3.124662
-42.582041,3,3.125662
-24.47747,2,3.126662
-21.980051,2,3.127662
-25.894412,3,3.128662
-30.085808,3,3.129662
-31.909309,3,3.130663
-28.625581,2,3.131662
-43.469029,5,3.134662
-34.146962,6,3.137662
-42.050298,3,3.138662
-22.842968,2,3.138662
-34.233013,3,3.139662
-49.673741,3,3.141663
-33.636396,2,3.141663
-48.684631,3,3.142662
-50.169948,4,3.144662
-37.1785,3,3.145662
-26.546815,2,3.146663
-22.71033,2,3.146663
-29.083595,6,3.149664
-25.080293,2,3.150662
-81.746561,9,3.153663
-26.828886,3,3.154662
-46.629302,4,3.156662
-45.009014,4,3.157662
-38.860678,3,3.158662
-45.441372,4,3.159662
-38.733347,3,3.160668
-50.706683,3,3.161668
-47.783731,3,3.163668
-33.68084,3,3.164668
-27.627689,2,3.165323
-30.738345,3,3.16633
-26.107045,3,3.16733
-50.077332,3,3.16833
-34.302042,3,3.16933
-39.507189,3,3.17033
-19.607489,2,3.17133
-30.088266,3,3.17233
-57.253387,7,3.17433
-30.156999,3,3.175836
-25.58511,2,3.175836
-44.387843,3,3.176843
-38.306438,3,3.177843
-19.836059,2,3.178843
-37.175342,7,3.180843
-34.653172,3,3.181843
-25.531359,2,3.182844
-27.300324,3,3.183843
-28.360641,3,3.184843
-70.367036,5,3.186843
-31.139052,2,3.186843
-24.714436,3,3.187843
-68.38073,8,3.190843
-41.039455,4,3.191843
-29.707668,3,3.192842
-44.690055,4,3.193843
-36.034456,4,3.195843
-22.670107,3,3.196843
-37.230264,3,3.197843
-44.703035,3,3.198843
-35.671062,3,3.199943
-28.697322,3,3.200947
-45.293207,4,3.202944
-45.441528,3,3.203951
-78.832666,11,3.206943
-34.479689,7,3.20995
-37.933501,3,3.210945
-31.921157,3,3.211845
-34.248653,3,3.212843
-27.731628,3,3.213843
24.231147,11,3.216843
-48.569373,3,3.217842
-31.743983,3,3.218843
-34.879932,4,3.220843
-48.13381,3,3.221843
-46.098093,4,3.222842
-47.484447,3,3.223843
-45.73065,5,3.225843
-35.670382,4,3.227843
-26.046908,3,3.228843
-48.19071,3,3.229842
-44.231254,3,3.230843
-23.243396,4,3.231842
-45.7164,4,3.232843
-42.648386,3,3.233842
-42.369248,3,3.234843
-34.984114,4,3.236843
-34.341825,3,3.237843
-38.47423,3,3.238842
-25.812457,3,3.240843
-40.573499,5,3.244843
-32.152771,3,3.245842
-44.175841,3,3.246843
-33.615648,6,3.247842
-30.77907,3,3.248843
-45.694592,4,3.250843
-28.164669,4,3.251842
-21.190386,2,3.252842
-27.871205,3,3.253842
-26.534768,2,3.253842
-40.228731,4,3.255842
-33.256539,2,3.255842
-20.550655,2,3.256842
-37.577004,3,3.257842
-42.500201,3,3.258842
-39.475337,4,3.260848
-39.858806,4,3.262848
-82.35366,9,3.265848
-33.37465,3,3.266849
-40.909955,3,3.267848
-89.818177,4,3.268848
-40.990129,3,3.269848
-37.609809,3,3.270848
-27.347579,3,3.271947
-50.603718,5,3.273948
-25.614238,2,3.273948
-47.889382,7,3.276676
-22.511734,2,3.277677
-45.353857,4,3.278679
-38.898291,3,3.279675
-46.999344,3,3.280675
-42.485042,3,3.281695
-26.680848,3,3.282705
-21.723875,2,3.283676
-29.972068,3,3.283676
-45.747709,3,3.284679
-65.238722,6,3.287694
-23.534502,3,3.288681
-30.650056,2,3.288681
-35.656082,4,3.290675
-54.896282,4,3.291672
-25.063218,2,3.291672
-23.245617,3,3.292672
-24.754816,2,3.293689
-24.028445,4,3.294678
-56.535007,4,3.296678
-22.423815,2,3.296678
-29.031255,6,3.298676
-38.326101,3,3.299594
